what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.cut.line.to.end",1299815734463
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1299815739419
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1299815739547
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1299815739659
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1299815742712
error,log,,,"Unhandled event loop exception",1299815744264
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1299815750549
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1299815750672
error,log,,,"Unhandled event loop exception",1299815750729
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1299815755801
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1299815782706
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1299815787456
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1299815800519
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.properties",1299815800570
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1299815806097
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1299815807809
error,log,,,"ArduinoAudioTest does not exist",1299815807814
executed,command,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.project.cleanAction",1299815807862
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1299815832926
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1299815834898
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1299815836039
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1299815864741
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1299815866561
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1299815870929
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1299815875422
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.properties",1299815875462
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1299815877927
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1299815884405
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1299815884552
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1299815884660
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1299815895073
error,log,,,"Unhandled event loop exception",1299815895179
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1299815903154
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1299815907595
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1299815924294
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.properties",1299815924334
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1299815929794
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1299815931194
error,log,,,"ArduinoAudioTest does not exist",1299815931200
executed,command,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.project.cleanAction",1299815931234
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1299815943551
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1299815943603
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1299815945591
executed,command,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1299815945624
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1299815945624
closed,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1299815945713
error,log,,,"Unable to get nature of project 'ArduinoAudioTest'.",1299815946010
error,log,,,"Unable to get nature of project 'ArduinoAudioTest'.",1299815946011
error,log,,,"Unable to get nature of project 'ArduinoAudioTest'.",1299815946012
error,log,,,"Unable to get nature of project 'ArduinoAudioTest'.",1299815946013
error,log,,,"Unable to get nature of project 'ArduinoAudioTest'.",1299815946014
error,log,,,"Unable to get nature of project 'ArduinoAudioTest'.",1299815946015
error,log,,,"Unable to get nature of project 'ArduinoAudioTest'.",1299815946016
error,log,,,"Unable to get nature of project 'ArduinoAudioTest'.",1299815946016
error,log,,,"Unable to get nature of project 'ArduinoAudioTest'.",1299815946018
error,log,,,"Unable to get nature of project 'ArduinoAudioTest'.",1299815946018
error,log,,,"Unable to get nature of project 'ArduinoAudioTest'.",1299815946019
error,log,,,"Unable to get nature of project 'ArduinoAudioTest'.",1299815946020
error,log,,,"Unable to get nature of project 'ArduinoAudioTest'.",1299815946021
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1299815955636
error,log,,,"Failed to load properties file for project 'ArduinoAudioTest'",1299816012095
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1299816012145
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1299816019734
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1299816019785
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1299816025105
executed,command,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1299816025132
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1299816025132
error,log,,,"Unable to get nature of project 'FirstTestAndroidProject'.",1299816025521
error,log,,,"Unable to get nature of project 'FirstTestAndroidProject'.",1299816025522
error,log,,,"Unable to get nature of project 'FirstTestAndroidProject'.",1299816025524
error,log,,,"Unable to get nature of project 'FirstTestAndroidProject'.",1299816025525
error,log,,,"Unable to get nature of project 'FirstTestAndroidProject'.",1299816025526
error,log,,,"Unable to get nature of project 'FirstTestAndroidProject'.",1299816025527
error,log,,,"Unable to get nature of project 'FirstTestAndroidProject'.",1299816025528
error,log,,,"Unable to get nature of project 'FirstTestAndroidProject'.",1299816025529
error,log,,,"Unable to get nature of project 'FirstTestAndroidProject'.",1299816025530
error,log,,,"Unable to get nature of project 'FirstTestAndroidProject'.",1299816025531
error,log,,,"Unable to get nature of project 'FirstTestAndroidProject'.",1299816025532
error,log,,,"Unable to get nature of project 'FirstTestAndroidProject'.",1299816025533
error,log,,,"Unable to get nature of project 'FirstTestAndroidProject'.",1299816025534
error,log,,,"Unable to get nature of project 'FirstTestAndroidProject'.",1299816025537
error,log,,,"Unable to get nature of project 'FirstTestAndroidProject'.",1299816025538
error,log,,,"Unable to get nature of project 'FirstTestAndroidProject'.",1299816025538
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.debug",1299816033592
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1299816033956
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1299816039570
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1299816047908
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1299816062387
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.properties",1299816062426
